Torvosaurus,152.1,145.0
Shidaisaurus,163.5,163.5
Metriacanthosaurus,155.7,155.7
Sinraptor hepingensis,157.3,157.3
Sinraptor dongi,157.3,157.3
Siamotyrannus,113.0,113.0
Yangchuanosaurus zigongensis,163.5,163.5
Yangchuanosaurus magnus,157.3,150.8
Allosaurus,152.1,139.8
Saurophaganax,145.0,145.0
Neovenator,125.0,125.0
Chilantaisaurus,89.8,83.6
Aerosteon,70.6,70.6
Megaraptor,85.8,85.8
Australovenator,93.5,93.5
Fukuiraptor,125.45,125.0
Eocarcharia,100.5,100.5
Concavenator,125.45,125.45
Acrocanthosaurus,113.0,109.0
Shaochilong,89.8,89.8
Tyrannotitan,113.0,100.5
Carcharodontosaurus,125.45,72.1
Giganotosaurus,93.5,93.5
Mapusaurus,89.8,89.8
Zuolong,157.3,157.3
Tanycolagreus,152.1,145.0
Guanlong,157.3,157.3
Proceratosaurus,164.7,164.7
Sinotyrannus,113.0,113.0
Dilong,122.46,122.46
Stokesosaurus,152.1,145.0
Eotyrannus,125.45,125.45
Xiongguanlong,100.5,100.5
Dryptosaurus,100.5,66.0
Appalachiosaurus,70.6,70.6
Bistahieversor,70.6,70.6
Albertosaurus,72.1,66.0
Gorgosaurus,72.1,66.0
Alioramus,66.0,66.0
Teratophoneus,70.6,70.6
Daspletosaurus,72.1,66.0
Tarbosaurus,72.1,66.0
Tyrannosaurus,70.6,66.0
Nqwebasaurus,132.9,132.9
Pelecanimimus,125.45,125.45
Hexing,122.46,122.46
Shenzhousaurus,122.46,122.46
Harpymimus,99.6,99.6
Beishanlong,100.5,100.5
Garudimimus,83.6,83.6
Archaeornithomimus,86.3,70.6
Sinornithomimus,89.8,89.8
Gallimimus,89.3,66.0
Anserimimus,66.0,66.0
Struthiomimus,72.1,66.0
Ornithomimus,122.46,63.3
Ornitholestes,150.8,145.0
Sinosauropteryx,125.0,122.46
Compsognathus,152.1,145.0
Haplocheirus,157.3,157.3
Patagonykus,85.8,85.8
Alvarezsaurus,83.6,83.6
Parvicursor,70.6,70.6
Mononykus,72.1,66.0
Shuvuuia,70.6,66.0
Incisivosaurus,122.46,100.5
Caudipteryx,122.46,122.46
Protarchaeopteryx,122.46,122.46
Similicaudipteryx,113.0,113.0
Avimimus,72.1,66.0
Microvenator,100.5,100.5
Gigantoraptor,70.6,70.6
Caenagnathasia,89.3,89.3
Elmisaurus,66.0,66.0
Leptorhynchos,72.1,70.6
Hagryphus,70.6,70.6
Chirostenotes,70.6,66.0
Caenagnathus,70.6,66.0
Oviraptor,83.6,70.6
Citipati,72.1,66.0
Khaan,66.0,66.0
Conchoraptor,70.6,70.6
Machairasaurus,72.1,72.1
Nemegtomaia,66.0,66.0
Heyuannia,66.0,66.0
Falcarius,125.0,125.0
Beipiaosaurus,122.46,122.46
Alxasaurus,113.0,113.0
Erliansaurus,70.6,70.6
Neimongosaurus,70.6,70.6
Suzhousaurus,113.0,113.0
Nanshiungosaurus,113.0,66.0
Segnosaurus,70.6,70.6
Erlikosaurus,83.6,83.6
Therizinosaurus,66.0,66.0
Nothronychus graffami,89.3,89.3
Nothronychus mckinleyi,89.3,89.3
Epidexipteryx,161.2,161.2
Anchiornis,157.3,150.8
Xiaotingia,150.8,150.8
Jinfengopteryx,125.0,125.0
Mei,129.4,122.46
Sinovenator,122.46,122.46
Xixiasaurus,72.1,72.1
Byronosaurus,66.0,66.0
Sinornithoides,113.0,100.5
Troodon,83.6,66.0
Linhevenator,72.1,72.1
Saurornithoides,72.1,66.0
Rahonavis,66.0,66.0
Buitreraptor,93.5,93.5
Unenlagia,85.8,85.8
Austroraptor,66.0,66.0
Shanag,100.5,100.5
Microraptor zhaoianus,113.0,113.0
Microraptor gui,113.0,113.0
Hesperonychus,70.6,70.6
Graciliraptor,122.46,122.46
Sinornithosaurus,122.46,122.46
Tianyuraptor,125.0,125.0
Dromaeosaurus,100.5,66.0
Achillobator,83.6,83.6
Utahraptor,125.0,125.0
Atrociraptor,66.0,66.0
Bambiraptor,72.1,70.6
Tsaagan,66.0,66.0
Saurornitholestes,72.1,66.0
Balaur,66.0,66.0
Velociraptor,83.6,66.0
Deinonychus,113.0,100.5
Archaeopteryx,145.0,125.45
Sapeornis,122.46,113.0
Jeholornis,122.46,113.0
Zhongornis,122.46,122.46
Eoconfuciusornis,125.0,125.0
Changchengornis,125.0,125.0
Confuciusornis sanctus,122.46,122.46
Confuciusornis dui,122.46,122.46
Jinzhouornis zhangjiyingia,122.46,122.46
Protopteryx,125.0,122.46
Otogornis,100.5,100.5
Elsornis,70.6,70.6
Shenqiornis,125.0,125.0
Longipteryx,113.0,113.0
Boluochia,113.0,113.0
Rapaxavis,113.0,113.0
Iberomesornis,125.45,125.45
Shanweiniao,122.46,122.46
Longirostravis,122.46,122.46
Vescornis,113.0,113.0
Pengornis,122.46,113.0
Gobipteryx,72.1,66.0
Neuquenornis,83.6,83.6
Eoenantiornis,122.46,122.46
Concornis,125.45,125.45
Eocathayornis,113.0,113.0
Cathayornis,113.0,113.0
Liaoningornis,122.46,122.46
Eoalulavis,125.45,125.45
Archaeorhynchus,122.46,122.46
Patagopteryx,83.6,83.6
Jianchangornis,122.46,122.46
Schizooura,122.46,122.46
Vorona,66.0,66.0
Zhongjianornis,122.46,122.46
Chaoyangia,113.0,113.0
Hongshanornis,125.0,113.0
Longicrusavis,125.0,125.0
Yixianornis,113.0,113.0
Yanornis,122.46,113.0
Songlingornis,113.0,113.0
Gansus,113.0,113.0
Apsaravis,72.1,72.1
Ambiortus,125.0,125.0
Hollanda,72.1,72.1
Ichthyornis,93.5,70.6
Vegavis,66.0,66.0
Limenavis,66.0,66.0
Enaliornis,99.6,99.6
Baptornis advenus,86.3,83.6
Baptornis varneri,70.6,70.6
Parahesperornis,83.6,70.6
Hesperornis,83.5,66.0
